contig_id	score	length
k141_111857_length_2396_cov_56.0142	nan	2396
k141_112061_length_2112_cov_24.0000	0.98	1969
k141_112317_length_5628_cov_16.0000	0.807	5624
k141_112447_length_2494_cov_11.0000	0.993	2446
k141_112499_length_1590_cov_48.3326	0.973	1588
k141_1125_length_4400_cov_351.0646	0.633	3358
k141_112618_length_1196_cov_11.0000	0.76	1192
k141_112710_length_1664_cov_7.0000	0.82	1660
k141_112826_length_2345_cov_62.1593	0.947	2341
k141_112970_length_1929_cov_9.0000	0.987	1926
k141_113088_length_13573_cov_373.7313	0.993	13461
k141_113127_length_3005_cov_86.0000	0.66	3004
k141_113152_length_1049_cov_15.7588	0.993	793
k141_113170_length_1430_cov_12.0000	1	1430
k141_113174_length_1064_cov_10.0000	0.707	1062
k141_113316_length_23352_cov_143.0000	0.56	23083
k141_113518_length_1208_cov_3.0000	0.973	1208
k141_113571_length_2763_cov_5.0000	0.993	2759
k141_113607_length_2887_cov_21.0000	0.56	2499
k141_113777_length_1210_cov_5.0000	0.88	1208
k141_113861_length_2546_cov_7.0000	0.72	2339
k141_113888_length_2095_cov_588.4197	0.593	1465
k141_114084_length_5612_cov_227.7015	0.733	5609
k141_114312_length_1232_cov_48.0000	nan	1232
k141_114375_length_1277_cov_131.7518	0.973	1275
k141_11449_length_3148_cov_11.0000	0.76	2563
k141_114533_length_3694_cov_11.0000	0.507	2405
k141_114639_length_2257_cov_8.0000	0.993	2125
k141_114712_length_4327_cov_54.0151	0.94	4327
k141_114883_length_14209_cov_24.8711	1	14196
k141_115088_length_1677_cov_14.0000	0.993	1227
k141_115186_length_1644_cov_6.1976	1	1641
k141_115340_length_9372_cov_92.0000	0.547	8259
k141_115418_length_3578_cov_62.8688	0.56	3244
k141_115548_length_3661_cov_22.8625	0.667	3660
k141_115595_length_1307_cov_21.0000	0.88	1248
k141_115630_length_1357_cov_27.0000	0.933	1354
k141_115907_length_2543_cov_10.0000	0.847	2543
k141_116272_length_7264_cov_18.7549	0.973	6590
k141_116428_length_1973_cov_41.2489	0.773	1911
k141_116509_length_1313_cov_12.0000	0.987	897
k141_116584_length_1420_cov_26.0000	nan	1420
k141_117155_length_1497_cov_17.0000	0.507	1494
k141_117357_length_3107_cov_15.0000	0.94	3106
k141_117551_length_2264_cov_18.2548	nan	2264
k141_117790_length_1857_cov_8.0000	0.987	1855
k141_117802_length_1946_cov_23.0000	0.947	1946
k141_117882_length_4718_cov_629.3347	0.507	4483
k141_117965_length_1009_cov_15.0000	0.98	949
k141_118245_length_1751_cov_13.0000	0.993	1452
k141_118267_length_8646_cov_15.0000	0.813	8643
k141_118335_length_59869_cov_201.6666	0.953	59866
k141_11840_length_178186_cov_241.4690	0.9	41355
k141_118458_length_1271_cov_16.0000	nan	1271
k141_118483_length_5234_cov_22.0000	0.94	5230
k141_11864_length_1131_cov_8.0000	0.673	1084
k141_119207_length_1020_cov_4.0000	nan	1020
k141_119237_length_1539_cov_127.7167	0.833	1396
k141_119720_length_1304_cov_5.0000	0.973	1301
k141_119920_length_2016_cov_7.0000	0.847	2014
k141_12003_length_1576_cov_6.0000	0.553	1220
k141_120081_length_7949_cov_15.0000	0.96	7949
k141_120281_length_1030_cov_11.9505	0.94	875
k141_120649_length_1581_cov_13.0000	0.987	1412
k141_120848_length_1053_cov_13.0000	0.987	1049
k141_12086_length_3090_cov_57.1472	0.947	3087
k141_120864_length_1138_cov_9.0000	nan	1138
k141_120942_length_1395_cov_14.0000	0.96	1394
k141_120943_length_1846_cov_15.0000	0.98	1525
k141_121102_length_7756_cov_14.0000	0.887	7753
k141_121307_length_1792_cov_13.0000	0.993	1788
k141_121390_length_1109_cov_12.0000	0.64	1074
k141_121509_length_1028_cov_19.0000	0.933	1025
k141_1217_length_1434_cov_84.8051	0.853	1433
k141_121767_length_3485_cov_23.0000	1	3328
k141_12195_length_1130_cov_11.0142	0.987	1023
k141_122012_length_1668_cov_19.0000	nan	1668
k141_122071_length_4417_cov_9.0000	0.807	4417
k141_122116_length_1043_cov_32.4834	0.933	1018
k141_122530_length_1219_cov_12.0000	0.98	1165
k141_122661_length_1768_cov_20.8494	0.767	1765
k141_12271_length_6716_cov_19.0000	0.567	6401
k141_122787_length_2168_cov_28.0000	0.993	2166
k141_122842_length_9828_cov_638.1406	0.94	9827
k141_12288_length_1706_cov_14.0000	0.933	1703
k141_122886_length_1136_cov_10.0000	0.927	1135
k141_123132_length_1263_cov_69.6381	0.927	1244
k141_123149_length_1125_cov_7.0000	0.973	1015
k141_12315_length_3760_cov_124.9154	0.873	3759
k141_123584_length_3445_cov_15.0085	0.887	3377
k141_123627_length_10635_cov_24.0059	0.68	9777
k141_1239_length_1202_cov_6.0000	0.987	1147
k141_124145_length_2189_cov_7.0000	0.993	2134
k141_124734_length_2068_cov_16.2776	0.987	2068
k141_125124_length_1509_cov_16.0000	0.713	1284
k141_125153_length_2421_cov_10.0000	0.967	2413
k141_125378_length_1181_cov_15.0000	1	1043
k141_125422_length_2052_cov_209.9686	0.973	1429
k141_125482_length_3446_cov_66.0000	0.64	2981
k141_125576_length_4158_cov_23.8237	0.813	3328
k141_125795_length_2005_cov_18.0000	0.987	2003
k141_125854_length_2948_cov_11.0000	0.993	2489
k141_126017_length_1592_cov_14.0000	0.987	1517
k141_126033_length_2485_cov_14.6962	0.9	2061
k141_126204_length_4256_cov_15.0000	0.98	4255
k141_126371_length_1609_cov_40.4080	0.953	1430
k141_126571_length_1625_cov_38.0000	0.947	1356
k141_126630_length_3480_cov_154.0000	0.753	3479
k141_126801_length_1142_cov_26.0000	1	1139
k141_127147_length_1583_cov_34.0000	1	1583
k141_127152_length_1097_cov_4.0000	0.993	975
k141_127158_length_1041_cov_13.0000	nan	1041
k141_127181_length_3294_cov_21.0000	0.873	3069
k141_127384_length_2323_cov_12.0000	0.993	2321
k141_127497_length_11506_cov_63.1121	0.993	11506
k141_127586_length_9250_cov_20.0000	0.573	8717
k141_127631_length_11251_cov_94.9580	0.993	11251
k141_127727_length_7886_cov_9.0000	0.947	7486
k141_127771_length_3539_cov_104.0000	0.693	3476
k141_128026_length_5870_cov_10.0000	0.733	5742
k141_128367_length_2019_cov_14.0021	nan	2019
k141_128421_length_2246_cov_5.0000	1	2221
k141_128651_length_2553_cov_17.6045	0.953	2553
k141_128839_length_4990_cov_25.2122	0.767	4437
k141_128853_length_1807_cov_49.9934	0.847	1805
k141_128986_length_1614_cov_64.0000	0.847	1565
k141_12916_length_54235_cov_42126.9825	0.733	53801
k141_129265_length_1415_cov_9.0000	0.787	1415
k141_129347_length_2858_cov_10.0000	0.853	2777
k141_129649_length_22075_cov_44.0294	0.52	21582
k141_129763_length_1004_cov_17.0000	0.62	709
k141_129782_length_1267_cov_20.0000	0.653	1267
k141_130025_length_4410_cov_44.3085	1	3276
k141_130120_length_1096_cov_54.8743	0.993	955
k141_130190_length_6642_cov_59.0000	0.927	6071
k141_130290_length_7056_cov_9.0000	0.607	6661
k141_130460_length_8563_cov_42.9380	0.627	6163
k141_130481_length_1741_cov_24.3219	0.913	1583
k141_130646_length_3493_cov_20.0000	0.673	3199
k141_130810_length_1611_cov_77.9531	0.9	887
k141_130905_length_2439_cov_19.0000	0.627	2381
k141_131080_length_7051_cov_45.0000	0.9	6899
k141_131271_length_7477_cov_216.8068	0.913	7144
k141_13164_length_5805_cov_233.5524	0.58	5140
k141_131647_length_3338_cov_66.2161	0.573	3021
k141_131866_length_4798_cov_26.5214	0.773	3559
k141_13194_length_5009_cov_23.0000	0.787	4772
k141_132112_length_5304_cov_8.0000	0.993	5302
k141_132181_length_1607_cov_16.0000	0.987	1605
k141_13232_length_1126_cov_4.0000	0.867	1123
k141_132484_length_5007_cov_34.0000	0.887	4581
k141_132657_length_1285_cov_12.0000	0.973	1284
k141_132841_length_2428_cov_93.3559	0.953	2426
k141_133229_length_6161_cov_87.8513	0.56	6160
k141_133485_length_1181_cov_46.0000	0.973	1180
k141_133587_length_2378_cov_8.0000	1	2376
k141_133671_length_143192_cov_11.1844	0.88	14163
k141_133680_length_1216_cov_21.0000	0.973	1214
k141_133824_length_1278_cov_10.0000	0.98	916
k141_13402_length_1983_cov_93.4625	0.933	1884
k141_134095_length_4109_cov_44.9894	0.96	3933
k141_134344_length_1698_cov_43.4579	0.947	1554
k141_134381_length_5230_cov_31.0000	0.567	5228
k141_134481_length_3167_cov_12.0000	0.947	2839
k141_134721_length_4854_cov_117.2642	0.773	4854
k141_134992_length_4812_cov_15.0777	1	4719
k141_135340_length_1194_cov_6.0000	nan	1194
k141_135472_length_2338_cov_12.0000	0.647	2079
k141_135477_length_2490_cov_18.2192	nan	2490
k141_135565_length_2724_cov_100.5730	0.673	2187
k141_135682_length_1888_cov_7.0000	0.993	1885
k141_135738_length_2054_cov_39.6702	1	2050
k141_135845_length_1175_cov_7.0000	1	1172
k141_135848_length_1934_cov_6.0000	nan	1934
k141_136024_length_15016_cov_91.3282	0.947	15013
k141_136130_length_2113_cov_9.0000	0.853	2111
k141_136249_length_1741_cov_15.0000	1	1738
k141_136331_length_2291_cov_72.9442	0.593	2287
k141_136335_length_3572_cov_25.0790	0.967	3326
k141_136358_length_1128_cov_5.0000	0.98	1125
k141_136375_length_1883_cov_6.0000	1	1716
k141_136543_length_4265_cov_22.0000	0.947	4262
k141_136580_length_6824_cov_46343.2656	0.66	6238
k141_136690_length_1847_cov_8.0000	0.973	1807
k141_136776_length_1563_cov_10.0000	0.993	1560
k141_137115_length_1090_cov_19.0000	1	1064
k141_13714_length_3117_cov_48.0000	0.867	2564
k141_137248_length_1807_cov_150.5600	1	1742
k141_137455_length_1555_cov_6.0000	0.98	1553
k141_137561_length_4365_cov_9.0000	0.96	4364
k141_137569_length_3666_cov_57.6996	0.973	2814
k141_137620_length_1857_cov_11.0000	0.9	1839
k141_137636_length_2746_cov_32.3152	0.807	2438
k141_137760_length_4125_cov_14.0000	0.993	3958
k141_137960_length_3069_cov_24.0000	0.933	2650
k141_138203_length_2039_cov_399.1170	0.707	2013
k141_138430_length_1645_cov_18.0000	0.96	1592
k141_138904_length_6400_cov_30.0000	1	6397
k141_138911_length_1296_cov_5.0000	1	1295
k141_138933_length_5669_cov_38.6677	0.533	5667
k141_138945_length_1437_cov_19.0000	0.98	1204
k141_138986_length_1159_cov_44.0059	0.6	1155
k141_139051_length_1760_cov_11.0000	0.82	1593
k141_139216_length_2115_cov_34.8105	0.653	1909
k141_139275_length_2005_cov_13.0000	0.993	2003
k141_139471_length_1009_cov_3.0000	0.953	944
k141_139492_length_13606_cov_32.3161	0.953	13542
k141_13960_length_6168_cov_7.4224	1	6166
k141_13964_length_1406_cov_177.9605	1	1285
k141_14019_length_1406_cov_68.8435	1	1285
k141_140215_length_2533_cov_15.0000	0.867	2486
k141_140231_length_1190_cov_6.0000	1	1188
k141_140378_length_1120_cov_28.0000	nan	1120
k141_140397_length_1630_cov_14.0000	0.987	1627
k141_140460_length_3911_cov_16.7289	0.88	3867
k141_14051_length_1041_cov_3.0000	0.993	1040
k141_140543_length_2056_cov_61.0000	0.833	2042
k141_140691_length_2057_cov_13.0000	0.94	2056
k141_140824_length_1407_cov_13.0000	0.767	1407
k141_141041_length_5120_cov_93.0558	0.92	4250
k141_141312_length_5535_cov_124.9726	0.713	5533
k141_141490_length_1263_cov_14.0000	0.567	1201
k141_141551_length_2000_cov_22.0000	1	1954
k141_141597_length_1645_cov_14.0000	0.953	1644
k141_141636_length_1545_cov_17.0000	0.993	1544
k141_14167_length_2324_cov_28.9743	0.967	1130
k141_14171_length_1383_cov_122.3382	0.84	689
k141_141812_length_14901_cov_108.3220	0.98	14899
k141_142098_length_3047_cov_18.0000	0.953	2972
k141_142104_length_3962_cov_27.0000	0.647	3914
k141_142236_length_2790_cov_108.9083	0.62	2282
k141_142604_length_1773_cov_14.0000	0.96	1772
k141_142634_length_2386_cov_13.0000	0.887	2385
k141_142913_length_7990_cov_26.0000	0.993	7987
k141_142954_length_3577_cov_83.0591	0.967	3574
k141_14296_length_5733_cov_54.3360	0.833	4167
k141_14309_length_2596_cov_9.0000	0.62	2593
k141_143372_length_2818_cov_41.4023	1	2815
k141_143567_length_1467_cov_9.0000	nan	1467
k141_143587_length_2134_cov_98.8580	0.933	1827
k141_143689_length_6326_cov_35.4587	0.56	6323
k141_143751_length_2942_cov_30.0000	0.673	2874
k141_143783_length_2024_cov_47.3457	0.98	2021
k141_143821_length_2450_cov_8.0000	0.933	2448
k141_144162_length_3748_cov_25.0000	0.513	3744
k141_14426_length_2515_cov_340.6571	0.84	2320
k141_144393_length_1481_cov_13.0000	0.9	1106
k141_144566_length_1548_cov_8.0000	0.953	784
k141_144578_length_1485_cov_51.0000	0.9	1485
k141_144646_length_1071_cov_26.0000	0.993	1028
k141_144791_length_2143_cov_9.0000	1	2093
k141_145034_length_1773_cov_13.2359	0.867	1770
k141_145103_length_1119_cov_4.0000	nan	1119
k141_145111_length_1288_cov_12.0000	0.953	1236
k141_145311_length_6128_cov_21.0000	0.587	6125
k141_14545_length_1396_cov_12.1060	0.587	1367
k141_145466_length_1834_cov_39.0000	0.967	1834
k141_145504_length_2578_cov_54.6516	0.78	2289
k141_145531_length_1572_cov_72.0000	0.847	1570
k141_145613_length_1703_cov_13.0000	1	1544
k141_145801_length_1433_cov_22.0000	0.967	1022
k141_145882_length_1918_cov_112.1429	0.9	1865
k141_146015_length_3220_cov_24.0000	0.933	3064
k141_146062_length_1068_cov_13.0000	0.94	1017
k141_146138_length_2949_cov_24.8981	0.7	2296
k141_146186_length_3310_cov_136.0846	0.64	3308
k141_146960_length_1375_cov_218.0146	0.94	1158
k141_147016_length_9474_cov_124.4607	0.84	9472
k141_147242_length_2584_cov_36.0000	0.76	2582
k141_147266_length_1858_cov_7.0000	0.727	1790
k141_147376_length_1959_cov_20.1529	0.9	1906
k141_147479_length_13858_cov_23.0000	0.747	13273
k141_147755_length_2242_cov_58.0624	0.52	2241
k141_148036_length_6213_cov_781.5527	0.847	5918
k141_148087_length_1313_cov_6.0000	0.987	1301
k141_148178_length_1398_cov_11.0000	0.973	1395
k141_148323_length_3137_cov_22.4640	1	3047
k141_148356_length_1919_cov_109.0129	0.58	1917
k141_148516_length_1328_cov_5.0000	0.987	1066
k141_148704_length_2074_cov_25.0000	0.9	2074
k141_148789_length_1089_cov_10.0000	0.96	1086
k141_148795_length_2492_cov_47.9860	0.993	2491
k141_149155_length_6575_cov_29.9905	0.867	5328
k141_14924_length_1888_cov_69.1236	0.96	1874
k141_14936_length_5840_cov_47.8312	0.693	4520
k141_149413_length_2574_cov_14.0000	0.587	2571
k141_149517_length_1741_cov_6.0000	0.973	1738
k141_149636_length_384491_cov_630.0820	0.9	85927
k141_149703_length_2682_cov_87.7879	0.987	2592
k141_149720_length_2628_cov_7.0000	0.953	2556
k141_149932_length_1120_cov_8.0000	nan	1120
k141_14994_length_1279_cov_31.0000	0.927	1087
k141_150607_length_2948_cov_26.0951	nan	2948
k141_150625_length_6327_cov_7.0000	1	6325
k141_150664_length_1939_cov_31.0011	0.907	1319
k141_150705_length_2833_cov_28.5628	0.993	2173
k141_150888_length_3733_cov_408.6531	0.907	3729
k141_150928_length_5449_cov_11.0000	0.993	5448
k141_150942_length_1467_cov_9.0000	0.993	541
k141_151065_length_13467_cov_20.0000	0.807	13466
k141_151087_length_1563_cov_22.0000	0.973	1562
k141_151124_length_9951_cov_81.6284	0.847	9143
k141_151198_length_1629_cov_29.0000	0.86	1556
k141_15137_length_1156_cov_6.0000	0.973	1153
k141_15142_length_3411_cov_110.7832	0.967	3407
k141_151433_length_2788_cov_8.0000	1	2787
k141_151742_length_1431_cov_26.0000	1	735
k141_15176_length_3439_cov_35.7968	0.947	2992
k141_151853_length_3947_cov_9.0000	0.773	3879
k141_151895_length_1250_cov_13.0000	0.94	1247
k141_151917_length_1049_cov_4.0000	0.9	1047
k141_151950_length_13461_cov_18.0000	1	13408
k141_152013_length_3131_cov_16.0000	0.927	2887
k141_152025_length_1829_cov_6.0000	0.927	1826
k141_152119_length_64508_cov_58.9946	1	64380
k141_152576_length_1167_cov_7.0000	nan	1167
k141_152614_length_2264_cov_8.0000	1	2262
k141_152624_length_19494_cov_76.0035	0.813	18873
k141_152675_length_8247_cov_159.3031	0.973	8247
k141_152678_length_2062_cov_20.0000	0.713	2060
k141_152803_length_1657_cov_28.9960	0.833	1452
k141_152955_length_2243_cov_24.0000	0.88	2132
k141_153229_length_2095_cov_36.0809	0.893	2094
k141_153248_length_1273_cov_22.0000	0.993	1185
k141_15389_length_1415_cov_18.0000	0.987	1414
k141_153911_length_2356_cov_76.2646	0.953	2356
k141_153955_length_7469_cov_506.4633	0.72	7143
k141_153986_length_1147_cov_5.0000	1	1090
k141_154072_length_3120_cov_112.7247	1	3119
k141_15411_length_1672_cov_63.0000	0.84	1670
k141_154323_length_1275_cov_16.6781	0.933	1275
k141_154764_length_2095_cov_27.0000	0.893	2091
k141_155008_length_3310_cov_9.0000	0.96	3216
k141_155156_length_1085_cov_124.0000	0.833	930
k141_155276_length_1954_cov_4.0000	nan	1954
k141_155334_length_2622_cov_59.1556	0.787	2211
k141_155399_length_1618_cov_6.0244	0.833	1617
k141_155438_length_1832_cov_22.9480	0.973	1150
k141_155511_length_3206_cov_16.0000	0.98	3203
k141_155552_length_1322_cov_16.0000	nan	1322
k141_155895_length_1049_cov_66.5980	0.9	1041
k141_155900_length_1040_cov_7.0000	nan	1040
k141_156029_length_1722_cov_108.3567	0.553	1719
k141_156144_length_1036_cov_336.7419	0.913	840
k141_156287_length_1251_cov_94.6090	nan	1251
k141_156561_length_2268_cov_8.0000	nan	2268
k141_156660_length_6592_cov_17.0000	0.993	6589
k141_156753_length_1131_cov_8.0000	0.973	972
k141_156765_length_1609_cov_29.0000	0.98	1501
k141_156839_length_1975_cov_24.0000	0.793	1973
k141_15684_length_2779_cov_154.8249	0.913	2776
k141_156934_length_5206_cov_19.0000	0.587	4155
k141_157073_length_2079_cov_13.0000	0.927	1510
k141_157111_length_4673_cov_83.1227	0.953	4488
k141_157130_length_8747_cov_25.0000	0.513	5210
k141_157180_length_1099_cov_1.0000	0.987	1050
k141_157182_length_1868_cov_341.2270	0.887	1823
k141_157243_length_1231_cov_31.0000	0.993	1229
k141_157297_length_1267_cov_35.8890	0.84	1264
k141_157438_length_14680_cov_125.4445	0.547	14058
k141_157531_length_1897_cov_14.0000	0.96	1894
k141_157544_length_1539_cov_16.0000	0.88	1536
k141_157829_length_3190_cov_21.0000	0.707	2588
k141_15789_length_1668_cov_8.0000	0.96	565
k141_1579_length_1447_cov_497.7420	0.573	1445
k141_158006_length_1106_cov_5.0000	0.987	1016
k141_158064_length_1039_cov_41.0000	0.933	939
k141_158197_length_2519_cov_120.7872	0.913	2517
k141_158327_length_7269_cov_8.0000	0.987	7030
k141_15845_length_1536_cov_8.0000	nan	1536
k141_158461_length_3430_cov_27.0000	0.86	3426
k141_158742_length_1203_cov_76.0000	nan	1203
k141_158781_length_5694_cov_56.7837	1	5526
k141_158887_length_1542_cov_11.0000	0.967	1357
k141_159073_length_1078_cov_5.0000	0.987	1076
k141_159520_length_1954_cov_15.0000	0.96	1952
k141_159584_length_2579_cov_7.0000	0.953	2578
k141_159653_length_1063_cov_5.0000	1	824
k141_159937_length_1658_cov_499.7086	0.94	1359
k141_159954_length_4906_cov_15.0000	1	4696
k141_160028_length_2233_cov_12.0000	0.8	1984
k141_160117_length_5546_cov_417.3591	0.9	4240
k141_160432_length_2095_cov_44.0000	0.627	2093
k141_160537_length_2337_cov_27.0000	nan	2337
k141_160541_length_1347_cov_6.0000	1	1347
k141_160850_length_1023_cov_10.0000	0.94	1023
k141_160900_length_1832_cov_7.0000	0.733	1831
k141_160905_length_3384_cov_20.0000	0.973	3381
k141_161046_length_2432_cov_5.0000	0.993	2430
k141_16124_length_9732_cov_59.9296	0.7	9421
k141_16140_length_5948_cov_124.1713	0.533	5944
k141_161406_length_4099_cov_50.0793	0.987	4096
k141_161538_length_2746_cov_26.0000	1	2745
k141_162076_length_1993_cov_470.0000	0.793	1852
k141_162142_length_2273_cov_13.0000	1	2273
k141_162490_length_1075_cov_6.0000	0.767	584
k141_162540_length_3708_cov_56.6546	0.927	3707
k141_162753_length_2089_cov_8.0000	0.633	1808
k141_162895_length_1250_cov_9.0000	1	1248
k141_162914_length_3518_cov_79.0157	0.993	3515
k141_163095_length_5356_cov_31.0000	0.907	5276
k141_163130_length_1682_cov_39.0000	0.98	1679
k141_163210_length_1184_cov_10.0000	1	1177
k141_163311_length_6569_cov_95.9448	0.913	6280
k141_163359_length_3521_cov_20.0000	0.98	2989
k141_16337_length_10511_cov_67.9288	1	10193
k141_163410_length_10080_cov_31.8938	0.513	8092
k141_163661_length_1051_cov_25.0000	0.64	1050
k141_163887_length_2691_cov_22.3655	0.953	2454
k141_164036_length_1090_cov_6.0000	0.967	936
k141_164101_length_1307_cov_40.0000	0.96	1304
k141_16440_length_2318_cov_51.5949	0.847	2221
k141_164705_length_19732_cov_39466.8526	0.787	19712
k141_16481_length_1849_cov_44.0000	0.967	1848
k141_164884_length_1110_cov_9.0000	nan	1110
k141_165003_length_13944_cov_83.8255	0.893	13843
k141_165233_length_1746_cov_13.0000	nan	1746
k141_165250_length_5047_cov_58.6708	0.927	4757
k141_165487_length_1160_cov_12.0000	nan	1160
k141_165516_length_1076_cov_7.0000	0.927	840
k141_165595_length_4032_cov_127.2292	0.887	4029
k141_165856_length_5004_cov_87.3531	0.94	4581
k141_166248_length_7967_cov_96.1567	0.847	7851
k141_166314_length_3029_cov_94.3774	0.9	3026
k141_166328_length_4901_cov_10.0000	1	4866
k141_166658_length_1542_cov_18.1849	0.94	1538
k141_166682_length_2484_cov_110.3956	0.9	2452
k141_166807_length_1233_cov_192.6905	0.973	890
k141_166941_length_1629_cov_20.0000	0.987	1626
k141_166946_length_14128_cov_26.0390	0.553	14127
k141_167048_length_2990_cov_90.3914	0.873	2990
k141_167130_length_1141_cov_9.0000	0.967	1109
k141_167165_length_1038_cov_5.0000	0.94	1034
k141_16734_length_1382_cov_12.0000	0.973	1361
k141_167655_length_1509_cov_24.0000	0.993	1507
k141_16771_length_1630_cov_27.4842	0.987	1629
k141_167755_length_1459_cov_5.0000	1	1457
k141_167824_length_1039_cov_27.5056	0.967	1037
k141_167919_length_2208_cov_36.5917	0.647	1619
k141_168099_length_2596_cov_88.0456	0.72	2594
k141_168437_length_3067_cov_9.0000	1	3041
k141_168469_length_1154_cov_4.0000	1	1111
k141_168481_length_8942_cov_80.2105	0.667	7592
k141_168570_length_1438_cov_48.6153	0.967	1436
k141_168794_length_1474_cov_54.0000	0.953	1474
k141_1688_length_1155_cov_6.0000	0.993	920
k141_168888_length_1524_cov_31.8409	0.58	1522
