contig_id	length	checkv_quality	completeness	completeness_method	contamination	warnings
k141_122530_length_1219_cov_12.0000	1219	Low-quality	0.68	HMM-based (lower-bound)	0	
k141_122661_length_1768_cov_20.8494	1768	Not-determined	NA	NA	0	no viral genes detected
k141_122787_length_2168_cov_28.0000	2168	Low-quality	3.61	HMM-based (lower-bound)	0	
k141_122842_length_9828_cov_638.1406	9828	Low-quality	24.52	AAI-based (medium-confidence)	0	
k141_125153_length_2421_cov_10.0000	2421	Low-quality	2.62	HMM-based (lower-bound)	0	
k141_125795_length_2005_cov_18.0000	2005	Low-quality	0.72	HMM-based (lower-bound)	0	
k141_126017_length_1592_cov_14.0000	1592	Low-quality	3.06	AAI-based (medium-confidence)	0	
k141_126204_length_4256_cov_15.0000	4256	Low-quality	1.44	HMM-based (lower-bound)	0	
k141_127384_length_2323_cov_12.0000	2323	Low-quality	6.28	AAI-based (medium-confidence)	0	
k141_127497_length_11506_cov_63.1121	11506	Low-quality	24.71	AAI-based (medium-confidence)	0	
k141_127631_length_11251_cov_94.9580	11251	Low-quality	24.22	AAI-based (medium-confidence)	0	
k141_127727_length_7886_cov_9.0000	7886	Low-quality	7.28	HMM-based (lower-bound)	0	
k141_128421_length_2246_cov_5.0000	2246	Low-quality	5.78	AAI-based (medium-confidence)	0	
k141_12916_length_54235_cov_42126.9825	54235	Low-quality	35.43	AAI-based (high-confidence)	0	
k141_129265_length_1415_cov_9.0000	1415	Low-quality	2.03	AAI-based (high-confidence)	0	
k141_132657_length_1285_cov_12.0000	1285	Low-quality	2.55	AAI-based (medium-confidence)	0	
k141_133502_length_3912_cov_121.6232	3912	Not-determined	NA	NA	0	no viral genes detected
k141_133587_length_2378_cov_8.0000	2378	Low-quality	3.82	HMM-based (lower-bound)	0	
k141_133671_length_143192_cov_11.1844_fragment_2	5783	Low-quality	11.19	AAI-based (high-confidence)	29.47	
k141_134344_length_1698_cov_43.4579	1698	Low-quality	3.06	HMM-based (lower-bound)	0	
k141_134992_length_4812_cov_15.0777	4812	Low-quality	12.49	AAI-based (medium-confidence)	0	
k141_136130_length_2113_cov_9.0000	2113	Not-determined	NA	NA	0	no viral genes detected
k141_136335_length_3572_cov_25.0790	3572	Low-quality	6.75	AAI-based (medium-confidence)	26.62	
k141_136543_length_4265_cov_22.0000	4265	Low-quality	3.18	HMM-based (lower-bound)	0	
k141_137159_length_20640_cov_40.8469	20640	Not-determined	NA	NA	0	no viral genes detected
k141_137561_length_4365_cov_9.0000	4365	Low-quality	13.78	AAI-based (high-confidence)	0	
k141_137636_length_2746_cov_32.3152	2746	Low-quality	6.68	AAI-based (high-confidence)	0	
k141_137960_length_3069_cov_24.0000	3069	Low-quality	7.88	AAI-based (high-confidence)	0	
k141_138430_length_1645_cov_18.0000	1645	Low-quality	5.53	AAI-based (high-confidence)	0	
k141_138904_length_6400_cov_30.0000	6400	Low-quality	10.83	HMM-based (lower-bound)	0	
k141_139275_length_2005_cov_13.0000	2005	Low-quality	3.2	HMM-based (lower-bound)	0	
k141_139471_length_1009_cov_3.0000	1009	Low-quality	2.42	AAI-based (high-confidence)	0	no viral genes detected
k141_139492_length_13606_cov_32.3161	13606	Low-quality	19.64	HMM-based (lower-bound)	0	
k141_13960_length_6168_cov_7.4224	6168	Low-quality	14.6	AAI-based (high-confidence)	0	
k141_140460_length_3911_cov_16.7289	3911	Low-quality	19.21	AAI-based (medium-confidence)	0	no viral genes detected
k141_140691_length_2057_cov_13.0000	2057	Not-determined	NA	NA	0	no viral genes detected
k141_141551_length_2000_cov_22.0000	2000	Low-quality	2.6	HMM-based (lower-bound)	0	
k141_141597_length_1645_cov_14.0000	1645	Low-quality	2.74	AAI-based (medium-confidence)	0	
k141_141812_length_14901_cov_108.3220	14901	Low-quality	22.12	HMM-based (lower-bound)	0	
k141_142098_length_3047_cov_18.0000	3047	Low-quality	9.99	AAI-based (medium-confidence)	0	no viral genes detected
k141_142913_length_7990_cov_26.0000	7990	Low-quality	9.12	HMM-based (lower-bound)	0	
k141_14309_length_2596_cov_9.0000	2596	Not-determined	NA	NA	0	no viral genes detected
k141_143372_length_2818_cov_41.4023	2818	Low-quality	4.61	HMM-based (lower-bound)	0	
k141_144422_length_10730_cov_27.5396	10730	Not-determined	NA	NA	0	no viral genes detected
k141_145034_length_1773_cov_13.2359	1773	Not-determined	NA	NA	0	no viral genes detected
k141_147479_length_13858_cov_23.0000	13858	Not-determined	NA	NA	0	no viral genes detected
k141_148087_length_1313_cov_6.0000	1313	Low-quality	1.57	AAI-based (medium-confidence)	0	no viral genes detected
k141_148704_length_2074_cov_25.0000	2074	Low-quality	0.46	HMM-based (lower-bound)	0	
k141_148795_length_2492_cov_47.9860	2492	Low-quality	4.83	AAI-based (medium-confidence)	0	
k141_148851_length_3917_cov_12.0000	3917	Low-quality	7.38	AAI-based (medium-confidence)	0	no viral genes detected
k141_14924_length_1888_cov_69.1236	1888	Low-quality	4.72	AAI-based (high-confidence)	0	no viral genes detected
k141_149517_length_1741_cov_6.0000	1741	Low-quality	4.16	AAI-based (high-confidence)	0	
k141_149636_length_384491_cov_630.0820_fragment_1	36383	Medium-quality	77.28	AAI-based (medium-confidence)	21.61	
k141_149703_length_2682_cov_87.7879	2682	Low-quality	1.49	HMM-based (lower-bound)	0	
k141_149720_length_2628_cov_7.0000	2628	Low-quality	3.77	AAI-based (high-confidence)	0	
k141_150085_length_2853_cov_163.0000	2853	Not-determined	NA	NA	0	no viral genes detected
k141_150625_length_6327_cov_7.0000	6327	Low-quality	15.36	AAI-based (high-confidence)	0	
k141_150928_length_5449_cov_11.0000	5449	Low-quality	9.78	AAI-based (medium-confidence)	0	
k141_151433_length_2788_cov_8.0000	2788	Low-quality	4.36	AAI-based (high-confidence)	0	
k141_151950_length_13461_cov_18.0000	13461	Low-quality	27.66	AAI-based (high-confidence)	0	
k141_152112_length_3340_cov_24.5724	3340	Not-determined	NA	NA	0	no viral genes detected
k141_152119_length_64508_cov_58.9946	64508	High-quality	100	AAI-based (medium-confidence)	0	
k141_153911_length_2356_cov_76.2646	2356	Not-determined	NA	NA	0	no viral genes detected
k141_154072_length_3120_cov_112.7247	3120	Low-quality	7.64	AAI-based (high-confidence)	0	
k141_155008_length_3310_cov_9.0000	3310	Low-quality	7.26	AAI-based (medium-confidence)	0	
k141_155511_length_3206_cov_16.0000	3206	Low-quality	6.33	AAI-based (high-confidence)	0	
k141_156660_length_6592_cov_17.0000	6592	Low-quality	16.78	AAI-based (medium-confidence)	0	
k141_157111_length_4673_cov_83.1227	4673	Low-quality	4.85	HMM-based (lower-bound)	0	
k141_157243_length_1231_cov_31.0000	1231	Low-quality	2.91	AAI-based (medium-confidence)	0	
k141_157297_length_1267_cov_35.8890	1267	Not-determined	NA	NA	0	no viral genes detected
k141_157544_length_1539_cov_16.0000	1539	Not-determined	NA	NA	0	no viral genes detected
k141_157829_length_3190_cov_21.0000	3190	Low-quality	2.01	HMM-based (lower-bound)	0	
k141_158327_length_7269_cov_8.0000	7269	Low-quality	19.21	AAI-based (high-confidence)	0	
k141_158781_length_5694_cov_56.7837	5694	Low-quality	13.69	HMM-based (lower-bound)	0	
k141_159778_length_2405_cov_16.0000	2405	Low-quality	3.5	HMM-based (lower-bound)	0	
k141_159954_length_4906_cov_15.0000	4906	Low-quality	11.5	AAI-based (medium-confidence)	0	
k141_161046_length_2432_cov_5.0000	2432	Low-quality	4.5	AAI-based (medium-confidence)	0	no viral genes detected
k141_161406_length_4099_cov_50.0793	4099	Low-quality	10.76	AAI-based (high-confidence)	0	
k141_162914_length_3518_cov_79.0157	3518	Low-quality	5.97	HMM-based (lower-bound)	0	
k141_163095_length_5356_cov_31.0000	5356	Low-quality	10.1	AAI-based (medium-confidence)	0	
k141_16337_length_10511_cov_67.9288	10511	Low-quality	20.92	AAI-based (medium-confidence)	0	
k141_163779_length_6542_cov_17.0000	6542	Low-quality	8.47	AAI-based (medium-confidence)	0	no viral genes detected
k141_163887_length_2691_cov_22.3655	2691	Not-determined	NA	NA	0	no viral genes detected
k141_165250_length_5047_cov_58.6708	5047	Not-determined	NA	NA	0	no viral genes detected
k141_165555_length_3826_cov_20.0000	3826	Low-quality	4.85	AAI-based (medium-confidence)	29.17	
k141_166314_length_3029_cov_94.3774	3029	Low-quality	3.55	HMM-based (lower-bound)	0	
k141_166328_length_4901_cov_10.0000	4901	Low-quality	12.59	AAI-based (high-confidence)	0	
k141_168437_length_3067_cov_9.0000	3067	Low-quality	6.48	AAI-based (medium-confidence)	0	
k141_168570_length_1438_cov_48.6153	1438	Low-quality	2.59	HMM-based (lower-bound)	0	
k141_169270_length_2185_cov_32.0000	2185	Not-determined	NA	NA	0	no viral genes detected
k141_169593_length_1971_cov_144.1781	1971	Low-quality	4.18	AAI-based (medium-confidence)	0	no viral genes detected
k141_16974_length_2444_cov_8.0000	2444	Low-quality	5.29	AAI-based (high-confidence)	0	
k141_169923_length_18882_cov_18.2416_fragment_1	13233	Low-quality	32.35	AAI-based (medium-confidence)	0	
k141_170333_length_2235_cov_156.0664	2235	Low-quality	6.73	AAI-based (medium-confidence)	0	
k141_171039_length_3931_cov_21.0000	3931	Not-determined	NA	NA	0	no viral genes detected
k141_171896_length_1240_cov_11.0000	1240	Not-determined	NA	NA	0	no viral genes detected
k141_172223_length_24486_cov_56.0000	24486	Low-quality	40.26	AAI-based (medium-confidence)	0	
k141_172693_length_16385_cov_108.0806	16385	Not-determined	NA	NA	0	no viral genes detected
k141_173793_length_2419_cov_94.0694	2419	Low-quality	4.61	AAI-based (medium-confidence)	0	
k141_17540_length_5046_cov_24.0000	5046	Low-quality	9.99	AAI-based (high-confidence)	0	
k141_175641_length_1846_cov_30.0106	1846	Low-quality	2.07	HMM-based (lower-bound)	0	
k141_176599_length_13613_cov_42.9998	13613	Low-quality	19.43	AAI-based (high-confidence)	0	
k141_176849_length_3199_cov_7.0000	3199	Not-determined	NA	NA	0	no viral genes detected
k141_17733_length_2205_cov_31.0000	2205	Low-quality	4.48	HMM-based (lower-bound)	0	
k141_177681_length_3965_cov_21.0000	3965	Low-quality	7.22	AAI-based (medium-confidence)	0	
k141_179323_length_2125_cov_21.0000	2125	Low-quality	4.23	AAI-based (high-confidence)	0	
k141_179358_length_3472_cov_20.0000	3472	Not-determined	NA	NA	0	no viral genes detected
k141_180403_length_4189_cov_13.0000	4189	Low-quality	6.85	HMM-based (lower-bound)	0	
k141_181229_length_1607_cov_4.0000	1607	Low-quality	2.31	AAI-based (high-confidence)	0	
k141_181442_length_7140_cov_183.4212	7140	Low-quality	9.45	HMM-based (lower-bound)	0	
k141_181741_length_25126_cov_68.0329	25126	Medium-quality	55.09	AAI-based (medium-confidence)	0	
k141_181880_length_1786_cov_9.0000	1786	Low-quality	3.35	AAI-based (medium-confidence)	0	
k141_182786_length_1783_cov_7.0000	1783	Low-quality	4.27	AAI-based (high-confidence)	0	
k141_182945_length_6449_cov_83.5980	6449	Low-quality	12.87	AAI-based (medium-confidence)	0	
k141_18328_length_2826_cov_9.0000	2826	Low-quality	5.18	HMM-based (lower-bound)	0	
k141_184321_length_4528_cov_30.4267	4528	Low-quality	10.13	HMM-based (lower-bound)	0	
k141_18462_length_3885_cov_18.0000	3885	Low-quality	4.21	HMM-based (lower-bound)	0	
k141_184795_length_5513_cov_24.0000	5513	Not-determined	NA	NA	0	no viral genes detected
k141_184828_length_6625_cov_89.1936	6625	Low-quality	12.5	HMM-based (lower-bound)	0	
k141_184910_length_29271_cov_11.0000	29271	Medium-quality	75.25	AAI-based (medium-confidence)	0	
k141_186189_length_4074_cov_18.0000	4074	Low-quality	4.02	AAI-based (medium-confidence)	0	
k141_186538_length_4494_cov_34.0000	4494	Low-quality	5.32	HMM-based (lower-bound)	34.45	
k141_186916_length_6884_cov_53.1953	6884	Low-quality	17.13	AAI-based (medium-confidence)	0	
k141_187215_length_1900_cov_9.0000	1900	Low-quality	3.81	HMM-based (lower-bound)	0	
k141_18722_length_8845_cov_77.4566	8845	Low-quality	19.67	AAI-based (medium-confidence)	0	
k141_187236_length_2367_cov_9.0000	2367	Low-quality	3.08	HMM-based (lower-bound)	0	
k141_187249_length_1150_cov_8.0000	1150	Low-quality	1.54	HMM-based (lower-bound)	0	
k141_187851_length_2225_cov_11.0000	2225	Low-quality	1.55	HMM-based (lower-bound)	0	
k141_187924_length_1878_cov_6.0000	1878	Low-quality	3.78	AAI-based (medium-confidence)	0	
k141_187985_length_2695_cov_11.0000	2695	Low-quality	4.67	HMM-based (lower-bound)	0	
k141_188555_length_4171_cov_12.0000	4171	Low-quality	9.62	AAI-based (medium-confidence)	0	
k141_188567_length_1516_cov_7.0000	1516	Low-quality	3.58	AAI-based (medium-confidence)	0	
k141_188901_length_4906_cov_75.4726	4906	Low-quality	8.58	HMM-based (lower-bound)	0	
k141_189596_length_3983_cov_59.3077	3983	Low-quality	6.53	HMM-based (lower-bound)	0	
k141_1902_length_2780_cov_32.0000	2780	Low-quality	4.16	AAI-based (medium-confidence)	0	
k141_190266_length_3070_cov_9.0000	3070	Low-quality	5.39	AAI-based (medium-confidence)	0	
k141_191373_length_1405_cov_29.7706	1405	Low-quality	3.3	AAI-based (high-confidence)	0	
k141_192428_length_1068_cov_16.0000	1068	Low-quality	2.19	AAI-based (high-confidence)	0	
k141_192850_length_15732_cov_14.9991	15732	Low-quality	31.94	AAI-based (medium-confidence)	0	
k141_19370_length_5112_cov_9.0000	5112	Low-quality	12.55	AAI-based (high-confidence)	0	
k141_193833_length_2307_cov_100.1062	2307	Low-quality	5.73	AAI-based (high-confidence)	0	
k141_19419_length_2004_cov_10.0000	2004	Low-quality	2.65	HMM-based (lower-bound)	0	
k141_194913_length_2678_cov_25.2988	2678	Low-quality	5.63	AAI-based (medium-confidence)	0	
k141_196449_length_1895_cov_13.0000	1895	Low-quality	5.92	AAI-based (medium-confidence)	0	
k141_197077_length_23645_cov_22.0000	23645	Medium-quality	62.5	AAI-based (medium-confidence)	0	
k141_197694_length_2334_cov_10.0000	2334	Low-quality	5.8	AAI-based (medium-confidence)	0	
k141_197729_length_2873_cov_10.0000	2873	Low-quality	6.4	AAI-based (medium-confidence)	0	no viral genes detected
k141_198557_length_2851_cov_20.0000	2851	Low-quality	6.75	AAI-based (high-confidence)	0	no viral genes detected
k141_198749_length_1603_cov_28.0000	1603	Low-quality	3.39	HMM-based (lower-bound)	0	
k141_19918_length_1428_cov_53.6364	1428	Low-quality	2.86	AAI-based (medium-confidence)	0	
k141_199329_length_3053_cov_11.0000	3053	Low-quality	6.56	AAI-based (medium-confidence)	0	
k141_199358_length_2374_cov_15.0000	2374	Low-quality	4.78	AAI-based (medium-confidence)	0	no viral genes detected
k141_20001_length_1482_cov_29.0000	1482	Low-quality	1.55	AAI-based (high-confidence)	0	
k141_200571_length_4116_cov_59.1849	4116	Not-determined	NA	NA	0	no viral genes detected
k141_202128_length_3277_cov_65.0360	3277	Not-determined	NA	NA	0	no viral genes detected
k141_202310_length_5808_cov_1268.1803	5808	Low-quality	10.72	HMM-based (lower-bound)	0	
k141_202336_length_9140_cov_213.4622	9140	Low-quality	12.02	AAI-based (medium-confidence)	0	
k141_203778_length_64248_cov_37.1169	64248	Complete	100	DTR (high-confidence)	0	
k141_204289_length_8641_cov_12.0000	8641	Low-quality	14.96	AAI-based (medium-confidence)	0	
k141_204320_length_1268_cov_6.0000	1268	Low-quality	8.48	AAI-based (medium-confidence)	0	no viral genes detected
k141_205130_length_2147_cov_83.0000	2147	Low-quality	3.45	HMM-based (lower-bound)	0	
k141_205377_length_2526_cov_29.0000	2526	Low-quality	5.9	AAI-based (high-confidence)	0	
k141_206044_length_3112_cov_8.0000	3112	Low-quality	6	AAI-based (medium-confidence)	0	no viral genes detected
k141_206380_length_4797_cov_17.5088	4797	Low-quality	10.9	AAI-based (medium-confidence)	0	
k141_206936_length_10066_cov_8.0000	10066	Low-quality	18.56	AAI-based (medium-confidence)	0	
k141_207202_length_1853_cov_7.0000	1853	Low-quality	4.06	AAI-based (high-confidence)	0	
k141_207823_length_2993_cov_36.1448	2993	Low-quality	6.61	HMM-based (lower-bound)	0	
k141_208948_length_1237_cov_6.0000	1237	Low-quality	1.07	AAI-based (medium-confidence)	0	
k141_208995_length_2297_cov_55.0867	2297	Low-quality	5.46	AAI-based (medium-confidence)	0	
k141_209180_length_3667_cov_30.0000	3667	Not-determined	NA	NA	0	no viral genes detected
k141_209189_length_11214_cov_384.6468	11214	Not-determined	NA	NA	0	no viral genes detected
k141_209533_length_1607_cov_11.0000	1607	Low-quality	3.34	AAI-based (medium-confidence)	0	
k141_209556_length_19712_cov_49.1941	19712	Medium-quality	50.33	AAI-based (medium-confidence)	0	
k141_210588_length_24463_cov_20.2876	24463	Medium-quality	61.83	AAI-based (medium-confidence)	0	
k141_210667_length_4630_cov_70.1123	4630	Low-quality	6.51	HMM-based (lower-bound)	0	
k141_211349_length_2177_cov_10.0000	2177	Low-quality	3.14	HMM-based (lower-bound)	0	
k141_212514_length_8987_cov_13.0000	8987	Low-quality	6.1	HMM-based (lower-bound)	0	
k141_212973_length_1498_cov_26.1363	1498	Low-quality	4.7	AAI-based (medium-confidence)	0	no viral genes detected
k141_213633_length_2311_cov_6.0000	2311	Low-quality	5.54	AAI-based (high-confidence)	0	
k141_214842_length_1703_cov_159.0000	1703	Low-quality	4.99	AAI-based (high-confidence)	0	
k141_215136_length_13867_cov_73.9850	13867	Low-quality	23.26	HMM-based (lower-bound)	0	
k141_215282_length_2138_cov_17.0000	2138	Low-quality	5.03	AAI-based (high-confidence)	0	
k141_215568_length_11194_cov_14.3166	11194	Not-determined	NA	NA	0	no viral genes detected
k141_215903_length_2975_cov_9.0000	2975	Low-quality	1.98	AAI-based (high-confidence)	0	
k141_216270_length_2095_cov_23.0716	2095	Low-quality	5.28	AAI-based (medium-confidence)	0	
k141_21752_length_29629_cov_56.9744	29629	Medium-quality	68.56	AAI-based (medium-confidence)	0	
k141_217653_length_1534_cov_26.0000	1534	Low-quality	0.82	HMM-based (lower-bound)	0	
k141_217766_length_3924_cov_51.7402	3924	Low-quality	8.93	AAI-based (medium-confidence)	0	
k141_218126_length_6607_cov_12.0000	6607	Low-quality	15.49	AAI-based (high-confidence)	0	
k141_219842_length_2413_cov_21.0000	2413	Low-quality	1.07	HMM-based (lower-bound)	0	
k141_219893_length_2092_cov_13.0000	2092	Low-quality	3.97	HMM-based (lower-bound)	0	
k141_21997_length_2655_cov_14.0000	2655	Low-quality	0.86	HMM-based (lower-bound)	0	
k141_220741_length_3186_cov_18.0000	3186	Low-quality	5.93	AAI-based (medium-confidence)	0	no viral genes detected
k141_22132_length_10902_cov_422.6214	10902	Not-determined	NA	NA	0	no viral genes detected
k141_221979_length_1424_cov_17.0000	1424	Low-quality	2.86	AAI-based (high-confidence)	0	
k141_222039_length_5712_cov_31.1298	5712	Low-quality	13.94	AAI-based (medium-confidence)	0	
k141_222341_length_2508_cov_12.0000	2508	Not-determined	NA	NA	0	no viral genes detected
k141_222622_length_14086_cov_80.8504	14086	Low-quality	24.49	HMM-based (lower-bound)	0	
k141_222800_length_3912_cov_145.8266	3912	Not-determined	NA	NA	0	no viral genes detected
k141_223241_length_4432_cov_22.2757	4432	Low-quality	4.02	HMM-based (lower-bound)	0	
k141_22357_length_1462_cov_9.0000	1462	Low-quality	1.31	HMM-based (lower-bound)	0	
k141_22501_length_7827_cov_76.8323	7827	Low-quality	18.47	AAI-based (medium-confidence)	0	
k141_225241_length_1170_cov_22.0000	1170	Low-quality	2.25	AAI-based (high-confidence)	0	
k141_226084_length_2079_cov_41.0000	2079	Not-determined	NA	NA	0	no viral genes detected
k141_226830_length_3620_cov_44.0149	3620	Low-quality	2.44	HMM-based (lower-bound)	0	
k141_227528_length_2629_cov_8.0000	2629	Low-quality	7.68	AAI-based (high-confidence)	0	
k141_229256_length_6217_cov_36.0000	6217	Low-quality	15.5	AAI-based (high-confidence)	0	
k141_229525_length_1531_cov_6.0000	1531	Low-quality	1.14	HMM-based (lower-bound)	0	
k141_229897_length_4165_cov_23.0522	4165	Low-quality	4.78	HMM-based (lower-bound)	29.77	
k141_231026_length_1494_cov_7.0015	1494	Low-quality	2.95	AAI-based (high-confidence)	0	
k141_231783_length_6237_cov_10.0000	6237	Low-quality	12.41	HMM-based (lower-bound)	0	
k141_23216_length_3219_cov_54.4113	3219	Low-quality	7.44	AAI-based (medium-confidence)	0	
k141_2336_length_21366_cov_23.0000	21366	Medium-quality	56.57	AAI-based (medium-confidence)	0	
k141_233774_length_4833_cov_11.0000	4833	Not-determined	NA	NA	0	no viral genes detected
k141_233839_length_5761_cov_113.5641	5761	Not-determined	NA	NA	0	no viral genes detected
k141_234085_length_10420_cov_8.0000	10420	Low-quality	15.04	AAI-based (medium-confidence)	0	
k141_234572_length_6174_cov_13.0000	6174	Low-quality	2.13	HMM-based (lower-bound)	0	
k141_234787_length_6966_cov_23.0015	6966	Not-determined	NA	NA	0	no viral genes detected
k141_235116_length_1410_cov_8.0000	1410	Low-quality	2.51	HMM-based (lower-bound)	0	
k141_235637_length_2457_cov_24.0000	2457	Low-quality	4.62	AAI-based (medium-confidence)	0	
k141_236735_length_1614_cov_31.0000	1614	Low-quality	0.97	HMM-based (lower-bound)	0	
k141_236802_length_2349_cov_10.0036	2349	Low-quality	2.45	AAI-based (medium-confidence)	0	
k141_23846_length_10560_cov_83.0000	10560	Not-determined	NA	NA	0	no viral genes detected
k141_23857_length_5908_cov_51.5499	5908	Low-quality	15.21	AAI-based (medium-confidence)	0	
k141_240276_length_4291_cov_14.0000	4291	Not-determined	NA	NA	0	no viral genes detected
k141_240307_length_2079_cov_36.0000	2079	Low-quality	2.74	AAI-based (medium-confidence)	0	
k141_240331_length_2535_cov_64.2828	2535	Low-quality	5.86	AAI-based (medium-confidence)	0	
k141_240891_length_2483_cov_82.3271	2483	Low-quality	5.74	AAI-based (medium-confidence)	0	
k141_243930_length_7647_cov_183.9619	7647	Low-quality	17.67	AAI-based (high-confidence)	0	
k141_244876_length_1385_cov_11.0000	1385	Low-quality	3.54	AAI-based (high-confidence)	0	
k141_24564_length_4667_cov_13.0000	4667	Low-quality	1.65	HMM-based (lower-bound)	0	
k141_246500_length_7278_cov_27.0000	7278	Low-quality	13.71	AAI-based (high-confidence)	0	
