contig_id	length	score	pvalue
k141_100986_length_1102_cov_10.0000	1102	0.644035757	0.037616134
k141_100988_length_1547_cov_8.0000	1547	0.691960037	0.033801647
k141_10103_length_1111_cov_16.0000	1111	0.509186327	0.057462799
k141_101033_length_15565_cov_24.2501	15565	0.97184968	0.010518166
k141_101037_length_2045_cov_25.5236	2045	0.766219616	0.028079915
k141_101124_length_3552_cov_37.0000	3552	1	0
k141_101161_length_9110_cov_469.0913	9110	0.735292077	0.030081577
k141_101169_length_2390_cov_10.0000	2390	0.603167772	0.041921595
k141_101207_length_1158_cov_12.0000	1158	0.99064064	0.007251303
k141_101265_length_2641_cov_33.0000	2641	0.553377271	0.047964348
k141_101277_length_2106_cov_120.8590	2106	0.828492105	0.023113528
k141_101309_length_1639_cov_25.0000	1639	0.878515244	0.019355692
k141_101328_length_1047_cov_22.0000	1047	0.750420392	0.029212931
k141_101364_length_1369_cov_19.0000	1369	0.850406766	0.021508422
k141_10138_length_1111_cov_7.0000	1111	0.505362093	0.058860186
k141_101412_length_4913_cov_81.5383	4913	0.536111355	0.051099026
k141_101418_length_1450_cov_13.0000	1450	0.965907335	0.011500113
k141_10142_length_5882_cov_38.6227	5882	0.677473783	0.03497243
k141_101431_length_1940_cov_134.4697	1940	0.692886889	0.033707229
k141_101464_length_11374_cov_86.6128	11374	0.69376123	0.033593927
k141_101474_length_1037_cov_17.0000	1037	0.970352411	0.010725886
k141_101487_length_3555_cov_87.9950	3555	0.538855612	0.050608052
k141_101569_length_1163_cov_29.0000	1163	0.943930268	0.014294886
k141_101590_length_1607_cov_30.0000	1607	0.555639327	0.047567792
k141_101651_length_1191_cov_6.0000	1191	0.999068081	0.003417932
k141_101670_length_3511_cov_20.0000	3511	0.995275915	0.006004985
k141_101753_length_1020_cov_43.0000	1020	0.999774814	0.002077196
k141_101790_length_1231_cov_13.0000	1231	0.593899369	0.043149029
k141_101805_length_2484_cov_84.3675	2484	0.913483083	0.016730871
k141_101855_length_2924_cov_84.1132	2924	0.583695531	0.04414986
k141_101878_length_2008_cov_16.0000	2008	0.703353822	0.032706398
k141_101904_length_1806_cov_61.0072	1806	0.998784006	0.003908906
k141_101910_length_1438_cov_12.0000	1438	0.583327174	0.044168744
k141_101947_length_1268_cov_149.0479	1268	0.692117989	0.033782763
k141_101994_length_3705_cov_85.1313	3705	0.543411195	0.04996601
k141_102006_length_1056_cov_21.0000	1056	0.545931935	0.049588337
k141_102034_length_1439_cov_74.5362	1439	0.98821032	0.007855578
k141_102046_length_1009_cov_11.0000	1009	0.824700832	0.023396782
k141_102085_length_1093_cov_12.0000	1093	0.538619995	0.050683586
k141_102164_length_2511_cov_13.0000	2511	0.510711074	0.057066244
k141_102176_length_1490_cov_7.0000	1490	0.884391427	0.018940252
k141_102190_length_6544_cov_32.5105	6544	0.530076265	0.052458645
k141_102194_length_5458_cov_70.9475	5458	0.576112866	0.044867437
k141_102228_length_11273_cov_391.0000	11273	0.569115698	0.045717199
k141_102270_length_1148_cov_4.0000	1148	0.514120221	0.056046529
k141_102271_length_1445_cov_7.0000	1445	0.635543823	0.038635849
k141_102292_length_2743_cov_24.3059	2743	0.629700065	0.039164589
k141_102323_length_11158_cov_31.8874	11158	0.953532398	0.013218521
k141_102374_length_1368_cov_15.0000	1368	0.674085736	0.03518015
k141_10240_length_1102_cov_7.0000	1102	0.555944443	0.047548909
k141_102438_length_1524_cov_84.0000	1524	0.548745096	0.049021829
k141_10245_length_1255_cov_67.0000	1255	0.608008564	0.041449505
k141_102488_length_1462_cov_99.5965	1462	0.504683673	0.059218974
k141_102523_length_5474_cov_26.5389	5474	0.999091744	0.003417932
k141_102542_length_2949_cov_108.7219	2949	0.512156725	0.056537503
k141_102589_length_6342_cov_98.4304	6342	0.525634468	0.053308407
k141_102598_length_2583_cov_17.0000	2583	0.835311174	0.02254702
k141_102604_length_3895_cov_97.8777	3895	0.550078392	0.048738575
k141_102607_length_4121_cov_9.0000	4121	0.937073708	0.014974696
k141_102621_length_1400_cov_36.0000	1400	0.62371695	0.039731098
k141_102639_length_1531_cov_6.0000	1531	0.927248001	0.015843342
k141_102651_length_13420_cov_74.4200	13420	0.791556478	0.026002719
k141_102667_length_5328_cov_86.4305	5328	0.813551962	0.02417101
k141_102681_length_1523_cov_7.0000	1523	0.565977097	0.046283707
k141_102693_length_1582_cov_13.0104	1582	0.938323855	0.014936929
k141_102714_length_1883_cov_13.0000	1883	0.503537118	0.059653297
k141_102747_length_1232_cov_7.0000	1232	0.99954164	0.002813657
k141_10275_length_1455_cov_58.0632	1455	0.714008808	0.03193217
k141_102751_length_1229_cov_10.0000	1229	0.698625684	0.033159604
k141_102779_length_2722_cov_96.7172	2722	0.919892788	0.016372082
k141_102812_length_2948_cov_104.4004	2948	0.744146824	0.029609487
k141_10282_length_1128_cov_11.0000	1128	0.99770689	0.004834202
k141_102824_length_1084_cov_146.4072	1084	0.989434481	0.007553441
k141_102887_length_3773_cov_39.4937	3773	0.868062496	0.020262104
k141_102927_length_2140_cov_21.0000	2140	0.858364344	0.02092303
k141_102940_length_4874_cov_95.8320	4874	0.636353254	0.03848478
k141_102951_length_1859_cov_146.0000	1859	0.555653572	0.047567792
k141_102963_length_5358_cov_21.9517	5358	0.655132771	0.036709721
k141_102988_length_2760_cov_64.4154	2760	0.99562788	0.0058728
k141_103045_length_1308_cov_10.0000	1308	0.703377485	0.032706398
k141_103050_length_30027_cov_140.3229	30027	0.999715805	0.002284916
k141_103188_length_1057_cov_23.7271	1057	0.536630869	0.051042375
k141_103224_length_2465_cov_18.0000	2465	0.548214078	0.049154015
k141_103226_length_7308_cov_103.5862	7308	0.82208252	0.023547851
k141_10323_length_1585_cov_28.0000	1585	0.546717525	0.049380618
k141_103312_length_1061_cov_10.0000	1061	0.951050937	0.013501775
k141_103317_length_5080_cov_77.7105	5080	0.67829895	0.034878012
k141_103404_length_1522_cov_13.0000	1522	0.670887649	0.035501171
k141_103408_length_1631_cov_10.0000	1631	0.993719459	0.006590377
k141_103416_length_1705_cov_70.6522	1705	0.603999257	0.04178941
k141_10346_length_1454_cov_131.6169	1454	0.505286038	0.058879069
k141_103469_length_2009_cov_18.0000	2009	0.833567023	0.022660322
k141_103500_length_3289_cov_38.7611	3289	0.744755626	0.029552836
k141_103590_length_4614_cov_49.8359	4614	0.762506485	0.028476471
k141_103598_length_1032_cov_14.0000	1032	0.682968915	0.034556991
k141_103621_length_1168_cov_7.0000	1168	0.724894583	0.031044641
k141_103718_length_2156_cov_22.0000	2156	0.651844978	0.036879674
k141_103847_length_3355_cov_12.0000	3355	0.864241302	0.020564242
k141_103854_length_1404_cov_9.0000	1404	0.549356222	0.048889644
k141_103869_length_1405_cov_17.3560	1405	0.507206559	0.058180376
k141_10388_length_2217_cov_18.0000	2217	0.664315939	0.035992144
k141_103913_length_1402_cov_81.3688	1402	0.631034195	0.039089055
k141_103974_length_1201_cov_24.0660	1201	0.76137805	0.028570889
k141_103985_length_7184_cov_27.0000	7184	0.652178526	0.03686079
k141_1040_length_1016_cov_18.0000	1016	0.679507494	0.034859128
k141_104004_length_1078_cov_23.8869	1078	0.520073652	0.054460307
k141_104024_length_1045_cov_17.0000	1045	0.523489952	0.053629428
k141_104029_length_1284_cov_96.7209	1284	0.864098132	0.020564242
k141_104037_length_1267_cov_7.0000	1267	0.825307369	0.023359015
k141_104105_length_3051_cov_136.0863	3051	0.876592696	0.019695596
k141_10411_length_2800_cov_106.6480	2800	0.583994269	0.044112093
k141_104221_length_1839_cov_12.0000	1839	0.609131813	0.041298436
k141_104242_length_1251_cov_15.2703	1251	0.568966508	0.045717199
k141_104265_length_4863_cov_109.9089	4863	0.971519947	0.010555933
k141_104279_length_3296_cov_30.7937	3296	0.694706798	0.033499509
k141_10428_length_1020_cov_334.8578	1020	0.717342973	0.031630032
k141_104348_length_2276_cov_24.0000	2276	0.808042049	0.024661984
k141_10437_length_2724_cov_116.0000	2724	0.632667124	0.038862452
k141_104384_length_1017_cov_81.1438	1017	0.971074939	0.010669235
k141_104391_length_4843_cov_112.1374	4843	0.745727122	0.029477302
k141_104407_length_1088_cov_8.0000	1088	0.981936455	0.009007478
k141_104483_length_1025_cov_9.0000	1025	0.976044416	0.009762822
k141_104489_length_6560_cov_132.7937	6560	0.960938275	0.012198807
k141_104525_length_1805_cov_16.0000	1805	0.676424086	0.035085732
k141_104528_length_1032_cov_6.0000	1032	0.994278193	0.006326006
k141_104543_length_1236_cov_46.0000	1236	0.970694542	0.010688118
k141_104563_length_1400_cov_26.0000	1400	0.623479307	0.039749981
k141_104568_length_1754_cov_122.6404	1754	0.890844703	0.018430395
k141_104647_length_7525_cov_113.6631	7525	0.98581934	0.008384319
k141_104651_length_2609_cov_29.0000	2609	0.616383553	0.040410907
k141_104709_length_1097_cov_23.0000	1097	0.999562204	0.002775889
k141_104771_length_2465_cov_13.0000	2465	0.817114413	0.023944407
k141_104798_length_1015_cov_8.4737	1015	0.962602258	0.011991087
k141_104806_length_1252_cov_11.0000	1252	0.548090518	0.049154015
k141_104809_length_1648_cov_17.0000	1648	0.995756149	0.005835033
k141_104855_length_1187_cov_164.0000	1187	0.518638968	0.054856862
k141_104892_length_1315_cov_32.0000	1315	0.54142493	0.050268147
k141_104897_length_5624_cov_109.4809	5624	0.967226744	0.011367928
k141_104954_length_1233_cov_230.1969	1233	0.597619653	0.042620289
k141_105008_length_1375_cov_14.0000	1375	0.509859979	0.057273963
k141_105043_length_1281_cov_34.6474	1281	0.940678	0.014766976
k141_105046_length_2483_cov_10.0000	2483	0.505176723	0.059011255
k141_105086_length_2131_cov_33.0000	2131	0.567270041	0.04603822
k141_10509_length_1819_cov_40.0000	1819	0.517387569	0.055234534
k141_105096_length_1123_cov_19.0000	1123	0.503065646	0.059936551
k141_105110_length_1044_cov_5.0000	1044	0.694998085	0.033442858
k141_105126_length_1595_cov_9.0000	1595	0.947737336	0.014011632
k141_105195_length_1236_cov_26.0000	1236	0.998484254	0.00424881
k141_105226_length_1206_cov_20.6582	1206	0.945657849	0.014143818
k141_10527_length_2378_cov_8.0000	2378	0.537159324	0.051004608
k141_105353_length_1238_cov_15.0000	1238	0.996410191	0.005570662
k141_105370_length_1082_cov_22.7800	1082	0.521741688	0.054025984
k141_105397_length_1224_cov_9.0000	1224	0.964072585	0.011707833
k141_105420_length_2369_cov_12.0000	2369	0.630852759	0.039089055
k141_10546_length_13999_cov_71.1931	13999	0.714878321	0.031837752
k141_105469_length_3366_cov_8.0000	3366	0.909000397	0.017089659
k141_105497_length_1377_cov_20.0000	1377	0.996959329	0.005306292
k141_10555_length_2124_cov_97.7423	2124	0.860902548	0.020771962
k141_105597_length_1057_cov_11.0000	1057	0.998100698	0.004513181
k141_105663_length_2518_cov_33.0000	2518	0.999730051	0.002266032
k141_105689_length_1194_cov_16.0000	1194	0.899370551	0.017712818
k141_105741_length_1155_cov_13.2485	1155	0.990039706	0.007383488
k141_105773_length_2738_cov_118.3385	2738	0.582628846	0.044282045
k141_105847_length_7178_cov_31.1938	7178	0.602886498	0.04199713
k141_105874_length_1207_cov_5.0000	1207	0.60464561	0.041713876
k141_105879_length_3308_cov_22.0000	3308	0.989964247	0.007421255
k141_105899_length_2283_cov_14.8375	2283	0.799985409	0.025247375
k141_105951_length_1993_cov_16.0000	1993	0.592621267	0.043337865
k141_105964_length_1209_cov_896.0000	1209	0.596164644	0.042809125
k141_106067_length_13884_cov_25.7139	13884	0.724222779	0.031101292
k141_106071_length_1334_cov_123.4979	1334	0.650560617	0.037011859
k141_106081_length_9872_cov_82.1001	9872	0.659685254	0.036350933
k141_106110_length_1222_cov_17.0000	1222	0.57894218	0.044565299
k141_10613_length_13395_cov_26.0000	13395	0.880460858	0.019204623
k141_10617_length_1218_cov_434.0000	1218	0.507768869	0.057953773
k141_106239_length_29444_cov_68.3113	29444	0.567909002	0.045962686
k141_106250_length_1109_cov_12.0000	1109	0.748144627	0.029307349
k141_106285_length_1008_cov_87.0507	1008	0.931358576	0.01546567
k141_106289_length_1016_cov_14.0000	1016	0.651913106	0.036879674
k141_106450_length_1608_cov_11.0000	1608	0.562219262	0.046566961
k141_106480_length_1135_cov_114.1831	1135	0.999928355	0.001435154
k141_106504_length_3266_cov_104.9245	3266	0.942887545	0.014445955
k141_106511_length_6214_cov_120.2154	6214	0.602911532	0.04199713
k141_106547_length_1922_cov_125.1370	1922	0.973046601	0.010197145
k141_106565_length_1315_cov_19.0000	1315	0.994964719	0.006099403
k141_106624_length_3215_cov_30.0000	3215	0.665697992	0.035897726
k141_106633_length_2125_cov_6.0000	2125	0.777285695	0.027097968
k141_106638_length_4235_cov_20.9858	4235	0.530965507	0.052307576
k141_106644_length_1379_cov_23.0000	1379	0.516038954	0.055517788
k141_106676_length_1568_cov_74.2074	1568	0.548398137	0.049116247
k141_106707_length_10346_cov_87.3843	10346	0.5473454	0.049191782
k141_10673_length_1123_cov_39.0000	1123	0.527269483	0.052949619
k141_106738_length_1046_cov_13.0000	1046	0.962606132	0.011991087
k141_106743_length_2543_cov_48.9671	2543	0.991964936	0.006949165
k141_106755_length_1286_cov_24.0000	1286	0.539904535	0.05049475
k141_106757_length_30616_cov_88.0008	30616	0.770946741	0.027740011
k141_106797_length_1543_cov_35.5649	1543	0.980720282	0.009215198
k141_106849_length_1717_cov_20.0000	1717	0.561709404	0.046604728
k141_106901_length_7934_cov_118.0821	7934	0.552581787	0.048077649
k141_106912_length_1074_cov_11.0000	1074	0.616438746	0.040392024
k141_106939_length_4294_cov_25.0000	4294	0.999064565	0.003455699
k141_10695_length_3693_cov_95.1534	3693	0.829858541	0.022962459
k141_106954_length_6504_cov_27.0000	6504	0.943949103	0.014276003
k141_106965_length_3772_cov_15.0000	3772	0.725513399	0.031006874
k141_10698_length_1019_cov_114.0216	1019	0.98926568	0.007572324
k141_106980_length_2970_cov_35.0820	2970	0.911394775	0.016976358
k141_107049_length_2534_cov_99.0000	2534	0.906862259	0.017202961
k141_107152_length_1217_cov_27.0335	1217	0.521552205	0.054120402
k141_107201_length_5388_cov_127.1285	5388	0.519940794	0.054460307
k141_10723_length_1609_cov_10.0000	1609	0.709442019	0.032385377
k141_107301_length_1056_cov_64.0000	1056	0.988071799	0.007855578
k141_107318_length_1437_cov_91.3133	1437	0.955716372	0.012916383
k141_107350_length_1637_cov_13.0000	1637	0.621763647	0.039882166
k141_107382_length_1718_cov_13.0000	1718	0.515856445	0.055593323
k141_10740_length_10650_cov_76.9638	10650	0.600932062	0.042242617
k141_107404_length_14767_cov_35.9201	14767	0.97511369	0.009895007
k141_107454_length_7651_cov_102.8314	7651	0.597536981	0.042658056
k141_107479_length_2046_cov_14.8383	2046	0.9545784	0.013105219
k141_107556_length_3822_cov_137.7316	3822	0.776701927	0.027173503
k141_107567_length_3550_cov_96.0255	3550	0.542535365	0.050060428
k141_107612_length_22461_cov_23.1199	22461	0.862438083	0.02065866
k141_10766_length_1187_cov_25.1033	1187	0.663622141	0.036029912
k141_107668_length_1005_cov_5.0000	1005	0.685895681	0.034273737
k141_107685_length_1023_cov_36.0000	1023	0.999991119	0.000623159
k141_107702_length_1965_cov_13.0000	1965	0.981860399	0.009026362
k141_107709_length_1704_cov_30.0000	1704	0.515242755	0.055782159
k141_107754_length_2191_cov_24.0000	2191	0.525394797	0.053308407
k141_107784_length_1113_cov_23.7366	1113	0.994156122	0.006363774
k141_107798_length_1764_cov_9.0000	1764	0.860940814	0.020771962
k141_107814_length_1392_cov_15.0000	1392	0.508123696	0.057821588
k141_107831_length_1127_cov_20.0000	1127	0.718034148	0.031535614
k141_10785_length_6876_cov_33.0000	6876	0.857643723	0.020979681
k141_107861_length_1745_cov_35.0000	1745	0.763236701	0.028438704
k141_107886_length_1206_cov_109.0000	1206	0.989448667	0.007534557
k141_107899_length_1029_cov_13.0000	1029	0.79485023	0.025700582
k141_107905_length_1095_cov_63.0000	1095	0.998161435	0.004475414
k141_107907_length_1026_cov_4.0000	1026	0.511731148	0.056707455
k141_107936_length_1076_cov_6.0000	1076	0.930754066	0.015541204
k141_107938_length_1662_cov_9.0000	1662	0.594705284	0.043016844
k141_107971_length_1080_cov_26.2247	1080	0.878373682	0.019374575
k141_108094_length_1398_cov_112.0461	1398	0.799279213	0.025398444
k141_108156_length_4775_cov_39.8347	4775	0.683946967	0.034443689
k141_108158_length_1014_cov_11.9897	1014	0.817584157	0.023925523
k141_108318_length_5782_cov_11.0000	5782	0.532080889	0.052062089
k141_108319_length_7691_cov_91.1261	7691	0.563720047	0.046491427
k141_108352_length_2028_cov_25.0000	2028	0.704247832	0.032630863
k141_108386_length_1526_cov_27.0000	1526	0.979158163	0.009422917
k141_108396_length_7680_cov_33.6632	7680	0.537067652	0.051004608
k141_108406_length_1887_cov_103.8562	1887	0.566281438	0.046208173
k141_108433_length_1932_cov_28.0000	1932	0.646554351	0.037427298
k141_108443_length_1019_cov_30.0000	1019	0.704585671	0.03261198
k141_108461_length_1866_cov_122.6858	1866	0.620990574	0.039957701
k141_108483_length_1111_cov_15.0000	1111	0.983339131	0.008799758
k141_108590_length_1547_cov_14.0000	1547	0.591057301	0.043470051
k141_108600_length_2960_cov_17.0000	2960	0.945578933	0.014143818
k141_108614_length_3734_cov_102.9059	3734	0.943945765	0.014276003
k141_108633_length_2073_cov_7.0000	2073	0.983036757	0.008875293
k141_108656_length_1014_cov_4.0000	1014	0.983959019	0.008724224
k141_108669_length_1238_cov_118.2762	1238	0.590088487	0.043507818
k141_108682_length_2906_cov_33.0000	2906	0.509382248	0.057387265
k141_108724_length_1358_cov_5.0000	1358	0.519046605	0.054762444
k141_108764_length_1290_cov_21.0000	1290	0.989291191	0.007572324
k141_108826_length_2044_cov_323.0000	2044	0.513375998	0.056235365
k141_108856_length_1646_cov_68.0000	1646	0.994254708	0.00634489
k141_108863_length_1406_cov_12.0000	1406	0.994432926	0.006231588
k141_109036_length_1075_cov_377.0000	1075	0.555725574	0.047567792
k141_109039_length_1209_cov_10.4551	1209	0.781687796	0.026682529
k141_109060_length_1668_cov_30.0000	1668	0.511269212	0.056934058
k141_109130_length_1764_cov_8.0000	1764	0.540413558	0.0504381
k141_109131_length_1879_cov_28.0000	1879	0.7789855	0.026965783
k141_10918_length_2133_cov_155.5271	2133	0.556997538	0.047378956
k141_109182_length_1006_cov_16.0000	1006	0.978997171	0.009422917
k141_109203_length_10255_cov_124.7209	10255	0.978507638	0.009517335
k141_109216_length_1356_cov_19.0000	1356	0.52613008	0.053138455
k141_109250_length_1073_cov_49.0000	1073	0.828424811	0.023113528
k141_109259_length_13254_cov_56.9959	13254	0.506095409	0.058595815
k141_109293_length_2149_cov_87.2610	2149	0.612254143	0.040882997
k141_109304_length_4114_cov_19.6028	4114	0.52056694	0.054384772
k141_10931_length_30954_cov_81.4679	30954	0.674767494	0.035142382
k141_109326_length_1033_cov_9.0000	1033	0.881193399	0.019129088
k141_109345_length_12159_cov_29.2545	12159	0.610671401	0.041128484
k141_109403_length_1115_cov_7.0000	1115	0.99198997	0.006930282
k141_109418_length_8237_cov_64.8956	8237	0.572301984	0.045339527
k141_109446_length_20672_cov_94.9008	20672	0.559197903	0.0469824
k141_109462_length_1994_cov_24.1160	1994	0.505119383	0.059049022
k141_109509_length_1841_cov_6.0000	1841	0.513847768	0.056046529
k141_109525_length_1309_cov_88.5060	1309	0.791072845	0.026078254
k141_109550_length_1577_cov_21.3760	1577	0.99578011	0.005835033
k141_109557_length_1954_cov_497.0480	1954	0.661881566	0.03612433
k141_109631_length_5765_cov_96.5386	5765	0.711185992	0.032215424
k141_109634_length_1219_cov_102.0788	1219	0.970337152	0.010725886
k141_109720_length_1371_cov_25.0000	1371	0.999327302	0.003078027
k141_10976_length_1426_cov_21.0000	1426	0.956875384	0.012784198
k141_109776_length_1538_cov_96.9306	1538	0.966133475	0.011500113
k141_109844_length_1030_cov_252.4308	1030	0.743787885	0.029609487
k141_109851_length_1234_cov_60.0000	1234	0.514831722	0.055819926
k141_109863_length_1026_cov_19.0000	1026	0.618391812	0.040222071
k141_109912_length_1901_cov_7.0000	1901	0.995406151	0.005986102
k141_109988_length_1071_cov_11.0000	1071	0.517237008	0.055272302
k141_110001_length_1042_cov_20.0000	1042	0.618429601	0.040222071
k141_110038_length_3013_cov_9.0000	3013	0.971668005	0.01053705
k141_110041_length_1021_cov_10.0000	1021	0.576398551	0.044848554
k141_110118_length_5012_cov_78.0437	5012	0.998796582	0.003890022
k141_110139_length_8890_cov_73.0000	8890	0.729381144	0.030648085
k141_110221_length_1248_cov_29.0000	1248	0.774393678	0.027418989
k141_110224_length_5224_cov_110.9803	5224	0.878845215	0.019355692
k141_110233_length_1041_cov_10.0000	1041	0.511175334	0.056952942
k141_110252_length_1122_cov_17.0000	1122	0.965570509	0.011537881
k141_11033_length_2196_cov_6.0000	2196	0.536217749	0.051099026
k141_110354_length_1662_cov_28.9967	1662	0.982696772	0.008931944
k141_110359_length_1569_cov_9.0000	1569	0.570616841	0.045603898
k141_11039_length_1391_cov_54.0000	1391	0.582876563	0.044244278
k141_110394_length_1288_cov_13.0000	1288	0.995142281	0.006023869
k141_110398_length_1013_cov_6.0000	1013	0.970047772	0.010820304
k141_110446_length_4145_cov_74.3199	4145	0.991630197	0.007062467
k141_110537_length_1124_cov_7.0000	1124	0.909421444	0.017070776
k141_110539_length_3890_cov_39.0000	3890	0.86591959	0.020375406
k141_110549_length_1090_cov_5.0000	1090	0.601330996	0.042204849
k141_110590_length_1241_cov_6.0000	1241	0.531461358	0.052175391
k141_110594_length_1735_cov_25.0000	1735	0.560678542	0.046774681
k141_110599_length_1453_cov_33.0000	1453	0.923907459	0.01599441
k141_110675_length_2917_cov_101.1354	2917	0.856113911	0.021111866
k141_110678_length_4466_cov_29.0671	4466	0.913800597	0.016730871
k141_110693_length_2036_cov_27.1525	2036	0.572633564	0.045320644
k141_110699_length_1273_cov_96.0000	1273	0.775476336	0.027286804
k141_110746_length_1498_cov_346.9418	1498	0.520499945	0.054403656
k141_110759_length_1026_cov_18.0000	1026	0.808140278	0.024624216
k141_110780_length_4157_cov_121.9739	4157	0.620176077	0.040033235
k141_110791_length_1016_cov_83.0000	1016	0.511869669	0.056631921
k141_110800_length_20850_cov_22.8973	20850	0.710008562	0.032290959
k141_110804_length_1028_cov_18.0000	1028	0.956992626	0.012784198
k141_110835_length_1606_cov_11.0000	1606	0.941813469	0.01457814
k141_110858_length_3791_cov_26.0000	3791	0.970685959	0.010688118
k141_110892_length_1822_cov_15.0000	1822	0.64234525	0.037786087
k141_110907_length_1470_cov_38.0000	1470	0.802971125	0.024945238
k141_110914_length_3396_cov_14.6249	3396	0.999906301	0.001567339
k141_110972_length_1952_cov_113.5820	1952	0.549546719	0.048870761
k141_11100_length_26278_cov_34.1863	26278	0.856797695	0.021036332
k141_111068_length_2859_cov_26.0000	2859	0.819614172	0.023755571
k141_111078_length_1503_cov_27.0000	1503	0.542562306	0.050060428
k141_111103_length_2003_cov_15.0000	2003	0.521024406	0.054347005
k141_111119_length_3817_cov_92.6230	3817	0.879514635	0.019280157
k141_111120_length_25667_cov_231.0997	25667	0.834565163	0.022584787
k141_111155_length_1301_cov_45.0000	1301	0.632868111	0.038862452
k141_111173_length_1120_cov_16.0000	1120	0.605466247	0.041657225
k141_111228_length_1154_cov_16.0000	1154	0.921814203	0.016221014
k141_111232_length_1467_cov_23.0000	1467	0.539857745	0.05049475
k141_111250_length_5712_cov_77.9514	5712	0.772557259	0.027551175
k141_111272_length_1260_cov_30.0000	1260	0.637109041	0.038428129
k141_111273_length_2415_cov_85.5022	2415	0.990540504	0.007270187
k141_111295_length_2323_cov_22.0000	2323	0.526181996	0.053138455
k141_111307_length_1311_cov_15.0000	1311	0.925318718	0.015918876
k141_111325_length_1084_cov_34.0000	1084	0.899314761	0.017712818
k141_111334_length_1466_cov_89.8423	1466	0.544137776	0.049833824
k141_111335_length_15113_cov_27.0000	15113	0.972111583	0.010480399
k141_111347_length_1952_cov_55.7653	1952	0.505314589	0.058860186
k141_111353_length_1646_cov_97.6631	1646	0.889819741	0.018505929
k141_111361_length_1060_cov_7.0000	1060	0.713502288	0.031951054
k141_111364_length_14689_cov_20.2044	14689	0.936820626	0.014974696
k141_111384_length_4366_cov_158.9536	4366	0.95927763	0.012482061
k141_111386_length_1340_cov_96.5505	1340	0.516865492	0.05536672
k141_111423_length_3846_cov_25.0000	3846	0.681666374	0.034726943
k141_111497_length_17981_cov_41.7236	17981	0.944908023	0.014200468
k141_111603_length_1218_cov_10.7957	1218	0.602487922	0.042016013
k141_111652_length_1338_cov_60.3459	1338	0.795991778	0.025643931
k141_111678_length_2287_cov_23.0000	2287	0.535600245	0.051287862
k141_111688_length_1376_cov_13.7789	1376	0.991209149	0.007194652
k141_111703_length_1567_cov_390.8668	1567	0.538454473	0.05070247
k141_111738_length_4607_cov_87.6135	4607	0.679581583	0.034859128
k141_111746_length_2287_cov_72.0531	2287	0.673146486	0.035312335
k141_111754_length_2266_cov_19.0000	2266	0.511039376	0.056971826
k141_111766_length_11380_cov_29.6283	11380	0.688646138	0.034047133
k141_111809_length_1435_cov_19.0000	1435	0.540295064	0.0504381
k141_111820_length_1434_cov_1121.0000	1434	0.740515828	0.029892741
k141_111884_length_4120_cov_21.0000	4120	0.954660177	0.013086336
k141_111907_length_10271_cov_34.4231	10271	0.855357647	0.021149634
k141_111917_length_1164_cov_29.0362	1164	0.968927145	0.011084674
k141_111941_length_1371_cov_13.0000	1371	0.503017843	0.059993202
